original_variable_name,shortened_variable_name,description,category
I enjoy listening to music.,Music,I enjoy listening to music.: Strongly disagree 1-2-3-4-5 Strongly agree (integer),Music Preferences
I prefer.,Slow songs or fast songs,I prefer.: Slow paced music 1-2-3-4-5 Fast paced music (integer),Music Preferences
"Dance, Disco, Funk",Dance,"Dance, Disco, Funk: Don't enjoy at all 1-2-3-4-5 Enjoy very much (integer)",Music Preferences
Folk music,Folk,Folk music: Don't enjoy at all 1-2-3-4-5 Enjoy very much (integer),Music Preferences
Country,Country,Country: Don't enjoy at all 1-2-3-4-5 Enjoy very much (integer),Music Preferences
Classical,Classical music,Classical: Don't enjoy at all 1-2-3-4-5 Enjoy very much (integer),Music Preferences
Musicals,Musical,Musicals: Don't enjoy at all 1-2-3-4-5 Enjoy very much (integer),Music Preferences
Pop,Pop,Pop: Don't enjoy at all 1-2-3-4-5 Enjoy very much (integer),Music Preferences
Rock,Rock,Rock: Don't enjoy at all 1-2-3-4-5 Enjoy very much (integer),Music Preferences
"Metal, Hard rock",Metal or Hardrock,"Metal, Hard rock: Don't enjoy at all 1-2-3-4-5 Enjoy very much (integer)",Music Preferences
Punk,Punk,Punk: Don't enjoy at all 1-2-3-4-5 Enjoy very much (integer),Music Preferences
"Hip hop, Rap","Hiphop, Rap","Hip hop, Rap: Don't enjoy at all 1-2-3-4-5 Enjoy very much (integer)",Music Preferences
"Reggae, Ska","Reggae, Ska","Reggae, Ska: Don't enjoy at all 1-2-3-4-5 Enjoy very much (integer)",Music Preferences
"Swing, Jazz","Swing, Jazz","Swing, Jazz: Don't enjoy at all 1-2-3-4-5 Enjoy very much (integer)",Music Preferences
Rock n Roll,Rock n roll,Rock n Roll: Don't enjoy at all 1-2-3-4-5 Enjoy very much (integer),Music Preferences
Alternative music,Alternative,Alternative music: Don't enjoy at all 1-2-3-4-5 Enjoy very much (integer),Music Preferences
Latin,Latino,Latin: Don't enjoy at all 1-2-3-4-5 Enjoy very much (integer),Music Preferences
"Techno, Trance","Techno, Trance","Techno, Trance: Don't enjoy at all 1-2-3-4-5 Enjoy very much (integer)",Music Preferences
Opera,Opera,Opera: Don't enjoy at all 1-2-3-4-5 Enjoy very much (integer),Music Preferences
I really enjoy watching movies.,Movies,I really enjoy watching movies.: Strongly disagree 1-2-3-4-5 Strongly agree (integer),Movie Preferences
Horror movies,Horror,Horror movies: Don't enjoy at all 1-2-3-4-5 Enjoy very much (integer),Movie Preferences
Thriller movies,Thriller,Thriller movies: Don't enjoy at all 1-2-3-4-5 Enjoy very much (integer),Movie Preferences
Comedies,Comedy,Comedies: Don't enjoy at all 1-2-3-4-5 Enjoy very much (integer),Movie Preferences
Romantic movies,Romantic,Romantic movies: Don't enjoy at all 1-2-3-4-5 Enjoy very much (integer),Movie Preferences
Sci-fi movies,Sci-fi,Sci-fi movies: Don't enjoy at all 1-2-3-4-5 Enjoy very much (integer),Movie Preferences
War movies,War,War movies: Don't enjoy at all 1-2-3-4-5 Enjoy very much (integer),Movie Preferences
Tales,Fantasy/Fairy tales,Tales: Don't enjoy at all 1-2-3-4-5 Enjoy very much (integer),Movie Preferences
Cartoons,Animated,Cartoons: Don't enjoy at all 1-2-3-4-5 Enjoy very much (integer),Movie Preferences
Documentaries,Documentary,Documentaries: Don't enjoy at all 1-2-3-4-5 Enjoy very much (integer),Movie Preferences
Western movies,Western,Western movies: Don't enjoy at all 1-2-3-4-5 Enjoy very much (integer),Movie Preferences
Action movies,Action,Action movies: Don't enjoy at all 1-2-3-4-5 Enjoy very much (integer),Movie Preferences
History,History,History: Not interested 1-2-3-4-5 Very interested (integer),Hobbies & Interests
Psychology,Psychology,Psychology: Not interested 1-2-3-4-5 Very interested (integer),Hobbies & Interests
Politics,Politics,Politics: Not interested 1-2-3-4-5 Very interested (integer),Hobbies & Interests
Mathematics,Mathematics,Mathematics: Not interested 1-2-3-4-5 Very interested (integer),Hobbies & Interests
Physics,Physics,Physics: Not interested 1-2-3-4-5 Very interested (integer),Hobbies & Interests
Internet,Internet,Internet: Not interested 1-2-3-4-5 Very interested (integer),Hobbies & Interests
"PC Software, Hardware",PC,"PC Software, Hardware: Not interested 1-2-3-4-5 Very interested (integer)",Hobbies & Interests
"Economy, Management",Economy Management,"Economy, Management: Not interested 1-2-3-4-5 Very interested (integer)",Hobbies & Interests
Biology,Biology,Biology: Not interested 1-2-3-4-5 Very interested (integer),Hobbies & Interests
Chemistry,Chemistry,Chemistry: Not interested 1-2-3-4-5 Very interested (integer),Hobbies & Interests
Poetry reading,Reading,Poetry reading: Not interested 1-2-3-4-5 Very interested (integer),Hobbies & Interests
Geography,Geography,Geography: Not interested 1-2-3-4-5 Very interested (integer),Hobbies & Interests
Foreign languages,Foreign languages,Foreign languages: Not interested 1-2-3-4-5 Very interested (integer),Hobbies & Interests
Medicine,Medicine,Medicine: Not interested 1-2-3-4-5 Very interested (integer),Hobbies & Interests
Law,Law,Law: Not interested 1-2-3-4-5 Very interested (integer),Hobbies & Interests
Cars,Cars,Cars: Not interested 1-2-3-4-5 Very interested (integer),Hobbies & Interests
Art,Art exhibitions,Art: Not interested 1-2-3-4-5 Very interested (integer),Hobbies & Interests
Religion,Religion,Religion: Not interested 1-2-3-4-5 Very interested (integer),Hobbies & Interests
Outdoor activities,"Countryside, outdoors",Outdoor activities: Not interested 1-2-3-4-5 Very interested (integer),Hobbies & Interests
Dancing,Dancing,Dancing: Not interested 1-2-3-4-5 Very interested (integer),Hobbies & Interests
Playing musical instruments,Musical instruments,Playing musical instruments: Not interested 1-2-3-4-5 Very interested (integer),Hobbies & Interests
Poetry writing,Writing,Poetry writing: Not interested 1-2-3-4-5 Very interested (integer),Hobbies & Interests
Sport and leisure activities,Passive sport,Sport and leisure activities: Not interested 1-2-3-4-5 Very interested (integer),Hobbies & Interests
Sport at competitive level,Active sport,Sport at competitive level: Not interested 1-2-3-4-5 Very interested (integer),Hobbies & Interests
Gardening,Gardening,Gardening: Not interested 1-2-3-4-5 Very interested (integer),Hobbies & Interests
Celebrity lifestyle,Celebrities,Celebrity lifestyle: Not interested 1-2-3-4-5 Very interested (integer),Hobbies & Interests
Shopping,Shopping,Shopping: Not interested 1-2-3-4-5 Very interested (integer),Hobbies & Interests
Science and technology,Science and technology,Science and technology: Not interested 1-2-3-4-5 Very interested (integer),Hobbies & Interests
Theatre,Theatre,Theatre: Not interested 1-2-3-4-5 Very interested (integer),Hobbies & Interests
Socializing,Fun with friends,Socializing: Not interested 1-2-3-4-5 Very interested (integer),Hobbies & Interests
Adrenaline sports,Adrenaline sports,Adrenaline sports: Not interested 1-2-3-4-5 Very interested (integer),Hobbies & Interests
Pets,Pets,Pets: Not interested 1-2-3-4-5 Very interested (integer),Hobbies & Interests
Flying,Flying,Flying: Not afraid at all 1-2-3-4-5 Very afraid of (integer),Phobias
"Thunder, lightning",Storm,"Thunder, lightning: Not afraid at all 1-2-3-4-5 Very afraid of (integer)",Phobias
Darkness,Darkness,Darkness: Not afraid at all 1-2-3-4-5 Very afraid of (integer),Phobias
Heights,Heights,Heights: Not afraid at all 1-2-3-4-5 Very afraid of (integer),Phobias
Spiders,Spiders,Spiders: Not afraid at all 1-2-3-4-5 Very afraid of (integer),Phobias
Snakes,Snakes,Snakes: Not afraid at all 1-2-3-4-5 Very afraid of (integer),Phobias
"Rats, mice",Rats,"Rats, mice: Not afraid at all 1-2-3-4-5 Very afraid of (integer)",Phobias
Ageing,Ageing,Ageing: Not afraid at all 1-2-3-4-5 Very afraid of (integer),Phobias
